,value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
0,25349,id,34420,id_1,34421,id_2,Цены на нефть восстанавливаются,text_1,Парламент Словакии поблагодарил народы бывшего СССР за Победу,text_2,-1,class
1,25360,id,34438,id_1,34439,id_2,"""Гоголь-центр"" покажет видеозапись скандального спектакля ""Тангейзер""",text_1,Кехман запретил «Гоголь-центру» показывать видеозапись «Тангейзера»,text_2,-1,class
2,25382,id,34475,id_1,34476,id_2,Агент: РФС вновь задерживает зарплату Фабио Капелло,text_1,СМИ: Агент Фабио Капелло грозится подать в суд на РФС,text_2,-1,class
3,25423,id,34494,id_1,34519,id_2,День Победы в Москве обещает выдаться облачным,text_1,Любляна отпразднует День Победы вместе с Москвой,text_2,-1,class
4,25430,id,34531,id_1,34532,id_2,Посол РФ в США: Россия будет бороться с попытками переписать историю,text_1,Правительство запланировало заработать на лотереях 400 млрд руб.,text_2,-1,class
8,25441,id,34552,id_1,34553,id_2,Путин перед Днем Победы подписал указ о присвоении генеральских званий,text_1,СК РФ: Официальный сайт Следственного комитета был взломан,text_2,-1,class
15,25460,id,34557,id_1,34571,id_2,Суд оправдал Васильеву в хищении акций на 2 млрд рублей,text_1,Суд оправдал Васильеву в мошенничестве со зданием на Арбате,text_2,-1,class
17,25463,id,34572,id_1,34575,id_2,Лидер британских лейбористов сохранил место в парламенте,text_1,Консерваторы получили большинство мест в британском парламенте,text_2,-1,class
21,25478,id,34572,id_1,34589,id_2,Лидер британских лейбористов сохранил место в парламенте,text_1,Лидер британских лейбористов подал в отставку из-за поражения на выборах,text_2,-1,class
22,25484,id,34598,id_1,34599,id_2,"Все фигуранты дела ""Оборонсервиса"" приговорены к колонии общего режима",text_1,Евгения Васильева приговорена к пяти годам колонии общего режима,text_2,-1,class
24,25486,id,34601,id_1,34602,id_2,Посол РФ сожалеет об отказе президента Черногории быть в Москве 9 мая,text_1,"Посол США – РБК: «Горд, что буду представлять США 9 мая»",text_2,-1,class
