value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
25349,id,34420,id_1,34421,id_2,Цены на нефть восстанавливаются,text_1,Парламент Словакии поблагодарил народы бывшего СССР за Победу,text_2,-1,class
25360,id,34438,id_1,34439,id_2,"""Гоголь-центр"" покажет видеозапись скандального спектакля ""Тангейзер""",text_1,Кехман запретил «Гоголь-центру» показывать видеозапись «Тангейзера»,text_2,-1,class
25382,id,34475,id_1,34476,id_2,Агент: РФС вновь задерживает зарплату Фабио Капелло,text_1,СМИ: Агент Фабио Капелло грозится подать в суд на РФС,text_2,-1,class
25423,id,34494,id_1,34519,id_2,День Победы в Москве обещает выдаться облачным,text_1,Любляна отпразднует День Победы вместе с Москвой,text_2,-1,class
25430,id,34531,id_1,34532,id_2,Посол РФ в США: Россия будет бороться с попытками переписать историю,text_1,Правительство запланировало заработать на лотереях 400 млрд руб.,text_2,-1,class
25431,id,34533,id_1,34534,id_2,Вертолет с 11 иностранцами на борту упал в Пакистане,text_1,В Пакистане упал вертолет с 11 иностранцами,text_2,1,class
25432,id,34535,id_1,34536,id_2,Самолет вернулся в аэропорт Новосибирска из-за стука в салоне,text_1,Самолет вернулся в новосибирский аэропорт из-за таинственного стука,text_2,1,class
25438,id,34547,id_1,34546,id_2,Васильева признана виновной в мошенничестве и хищениях,text_1,Васильева признана виновной в хищениях и отмывании денег,text_2,0,class
25441,id,34552,id_1,34553,id_2,Путин перед Днем Победы подписал указ о присвоении генеральских званий,text_1,СК РФ: Официальный сайт Следственного комитета был взломан,text_2,-1,class
25443,id,34556,id_1,34557,id_2,Суд оправдал Васильеву в хищении акций на два миллиарда рублей,text_1,Суд оправдал Васильеву в хищении акций на 2 млрд рублей,text_2,1,class
25447,id,34560,id_1,34561,id_2,Пушков: у Обамы не хватило духа лично поздравить наш народ с Победой,text_1,Пушков: Обама не нашел в себе духа лично поздравить россиян с Победой,text_2,1,class
25448,id,34562,id_1,34563,id_2,МЧС РФ: тела погибших российских дипломатов доставят из Непала 11 мая,text_1,Тела погибших в Непале российских дипломатов доставят на родину 11 мая,text_2,1,class
25451,id,34565,id_1,34566,id_2,Девять самолетов ВВС разгонят облака над Москвой в День Победы,text_1,Облака над Москвой в День Победы разгонят девять самолетов,text_2,1,class
25456,id,34567,id_1,34568,id_2,Троих подростков-убийц поймали в Подмосковье,text_1,В Подмосковье трое подростков признались в серии убийств,text_2,0,class
25457,id,34549,id_1,34569,id_2,Следственный комитет сообщил о взломе своего сайта,text_1,В СКР сообщили о взломе хакерами сайта ведомства,text_2,1,class
25460,id,34557,id_1,34571,id_2,Суд оправдал Васильеву в хищении акций на 2 млрд рублей,text_1,Суд оправдал Васильеву в мошенничестве со зданием на Арбате,text_2,-1,class
25462,id,34574,id_1,34575,id_2,Консерваторы претендуют на большинство в парламенте Британии,text_1,Консерваторы получили большинство мест в британском парламенте,text_2,1,class
25463,id,34572,id_1,34575,id_2,Лидер британских лейбористов сохранил место в парламенте,text_1,Консерваторы получили большинство мест в британском парламенте,text_2,-1,class
25469,id,34579,id_1,34580,id_2,Песков: Путин и Кастро не обсуждали вопрос о военных базах РФ на Кубе,text_1,Песков: Путин и Кастро не говорили о базах на Кубе,text_2,1,class
25471,id,34582,id_1,34583,id_2,Лавров выразил соболезнования в связи с гибелью дипломатов РФ в Непале,text_1,"Лавров выразил соболезнования родственникам дипломатов, погибших в Непале",text_2,1,class
25477,id,34590,id_1,34589,id_2,Лидер либдемов Ник Клегг подал в отставку после неудачи на выборах,text_1,Лидер британских лейбористов подал в отставку из-за поражения на выборах,text_2,0,class
25478,id,34572,id_1,34589,id_2,Лидер британских лейбористов сохранил место в парламенте,text_1,Лидер британских лейбористов подал в отставку из-за поражения на выборах,text_2,-1,class
25484,id,34598,id_1,34599,id_2,"Все фигуранты дела ""Оборонсервиса"" приговорены к колонии общего режима",text_1,Евгения Васильева приговорена к пяти годам колонии общего режима,text_2,-1,class
25485,id,34600,id_1,34599,id_2,Евгения Васильева приговорена к пяти годам общего режима,text_1,Евгения Васильева приговорена к пяти годам колонии общего режима,text_2,1,class
25486,id,34601,id_1,34602,id_2,Посол РФ сожалеет об отказе президента Черногории быть в Москве 9 мая,text_1,"Посол США – РБК: «Горд, что буду представлять США 9 мая»",text_2,-1,class
25487,id,34584,id_1,34602,id_2,9 мая метрополитен Петербурга будет работать круглосуточно,text_1,"Посол США – РБК: «Горд, что буду представлять США 9 мая»",text_2,-1,class
25491,id,34605,id_1,34603,id_2,Консерваторы увеличили отрыв от лейбористов на выборах в Британии,text_1,Консерваторы победили на выборах в Британии,text_2,0,class
25492,id,34606,id_1,34607,id_2,Лавров о возможной встрече с Керри: готов встречаться с ним всегда,text_1,Лавров заявил о готовности встретиться с Керри в Сочи,text_2,0,class
25493,id,34608,id_1,34607,id_2,СМИ: Лавров и Керри могут встретиться в Сочи 12 мая,text_1,Лавров заявил о готовности встретиться с Керри в Сочи,text_2,1,class
25497,id,34584,id_1,34612,id_2,9 мая метрополитен Петербурга будет работать круглосуточно,text_1,Петербургское метро в ночь на 10 мая будет работать круглосуточно,text_2,1,class
25501,id,34618,id_1,34615,id_2,"Прокуратура пока не решила, обжаловать ли приговор Васильевой",text_1,Защита Васильевой обжалует приговор суда,text_2,-1,class
25502,id,34597,id_1,34615,id_2,Защита Васильевой обжалует приговор в виде пяти лет заключения,text_1,Защита Васильевой обжалует приговор суда,text_2,0,class
25504,id,34620,id_1,34621,id_2,Евродоклад по безвизовому режиму Украины с ЕС удивил Киев,text_1,ЕС не предоставит Украине и Грузии безвизовый режим,text_2,-1,class
25505,id,34622,id_1,34623,id_2,Путин освободил от должности ряд генералов,text_1,Владимир Путин освободил от должности почти 20 генералов,text_2,0,class
25506,id,34624,id_1,34625,id_2,Украинские силовики сообщили о гибели двух военных в Донбассе за сутки,text_1,Украинские военные сбили в Донбассе израильский беспилотник,text_2,-1,class
25507,id,34626,id_1,34627,id_2,Главой ГУМЧС России по Москве назначен генерал-майор Денисов,text_1,Главой ГУМЧС по Москве назначен генерал-майор Илья Денисов,text_2,1,class
25508,id,34628,id_1,34629,id_2,СК: против принимавшего участие в убийствах в Хатыне возбуждено дело,text_1,СК России возбудил дело против убийцы жителей Хатыни Катрюка,text_2,1,class
25509,id,34627,id_1,34630,id_2,Главой ГУМЧС по Москве назначен генерал-майор Илья Денисов,text_1,Путин назначил нового главу управления МЧС по Москве,text_2,0,class
25510,id,34631,id_1,34630,id_2,Александр Некрасов назначен на пост главы МЧС Хакасии,text_1,Путин назначил нового главу управления МЧС по Москве,text_2,0,class
25511,id,34628,id_1,34632,id_2,СК: против принимавшего участие в убийствах в Хатыне возбуждено дело,text_1,"СК РФ возбудил дело против нациста, убившего жителей Хатыни",text_2,0,class
25512,id,34623,id_1,34633,id_2,Владимир Путин освободил от должности почти 20 генералов,text_1,Путин снял с должностей более 20 руководителей-силовиков,text_2,0,class
25513,id,34634,id_1,34635,id_2,Источник: Якунин озвучил свою месячную зарплату в 4 миллиона рублей,text_1,Якунин назвал размер своей зарплаты,text_2,0,class
25516,id,34638,id_1,34639,id_2,Apple получила патент на социальную сеть,text_1,Apple получила патент на собственную соцсеть,text_2,1,class
25518,id,34642,id_1,34643,id_2,"Подвесной потолок обрушился в аэропорту Стамбула, есть раненые",text_1,Четверо пострадали при обрушении подвесного потолка в аэропорту Стамбула,text_2,1,class
25519,id,34644,id_1,34645,id_2,Россия представляет принципиально новый танк,text_1,Вашингтон пригрозил России новыми санкциями,text_2,-1,class
25520,id,34646,id_1,34647,id_2,Генсек ООН и премьер Украины обсудили минские договоренности,text_1,Генсек ООН и премьер-министр Украины обсудили минские договоренности,text_2,1,class
25521,id,34648,id_1,34649,id_2,Результаты выборов в Великобритании укрепили фунт,text_1,Стали известны окончательные результаты выборов в Великобритании,text_2,-1,class
25522,id,34650,id_1,34651,id_2,"Николич: Сербия не говорила о нежелании строить ""Турецкий поток""",text_1,Президент Сербии опроверг свои слова об отказе строить «Турецкий поток»,text_2,0,class
25523,id,34652,id_1,34653,id_2,СМИ сообщают об обысках в Минкульте по делу о контрабанде. Минкульт опровергает,text_1,Минкультуры отчиталось перед следствием по делу о контрабанде картин,text_2,-1,class
25525,id,34519,id_1,34654,id_2,Любляна отпразднует День Победы вместе с Москвой,text_1,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_2,-1,class
25526,id,34655,id_1,34654,id_2,Премьер Словакии прибыл в Москву для участия в мероприятиях 9 мая,text_1,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_2,-1,class
25527,id,34591,id_1,34654,id_2,Кремль: Порошенко не был приглашен в Москву на парад 9 мая,text_1,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_2,-1,class
25528,id,34656,id_1,34657,id_2,«Прогресс» сгорел над Тихим океаном,text_1,Путин: кооперация с Китаем поспособствует притоку инвестиций в ЕАЭС,text_2,-1,class
25529,id,34658,id_1,34659,id_2,Дворнику на Римского-Корсакова подкинули трехмесячного младенца,text_1,Светлана Медведева награждена высшим орденом РПЦ,text_2,-1,class
25530,id,34660,id_1,34661,id_2,СМИ: украинский боксер разгневал своих фанатов георгиевской ленточкой,text_1,Украинский боксер удалил фотографию с георгиевской ленточкой из Instagram,text_2,-1,class
25531,id,34662,id_1,34663,id_2,Самолеты коалиции начали бомбардировку йеменской провинции Саада,text_1,Самолеты Арабской коалиции начали бомбить йеменскую провинцию Саада,text_2,1,class
25532,id,34664,id_1,34665,id_2,"Греция подтвердила США интерес к газопроводу от ""Турецкого потока""",text_1,США предложили Греции отказаться от участия в «Турецком потоке»,text_2,-1,class
25533,id,34666,id_1,34665,id_2,Хаджииоанну: США могут предложить Греции лишь сжиженный газ,text_1,США предложили Греции отказаться от участия в «Турецком потоке»,text_2,-1,class
25534,id,34576,id_1,34667,id_2,Разговор о роли России во Второй мировой войне,text_1,Консервативная партия получила большинство в британском парламенте,text_2,-1,class
25535,id,34654,id_1,34668,id_2,Путеводитель по Дню Победы: как провести 9 мая в Москве,text_1,Лукашенко назвал надуманной проблему своего отсутствия 9 Мая в Москве,text_2,-1,class
25536,id,34669,id_1,34668,id_2,Коморовский: отсутствие Меркель в Москве 9 мая важно для Польши,text_1,Лукашенко назвал надуманной проблему своего отсутствия 9 Мая в Москве,text_2,-1,class
25537,id,34670,id_1,34671,id_2,Аваков уволил 15 руководителей МВД Украины в рамках закона о люстрации,text_1,Аваков уволил 15 региональных руководителей МВД Украины,text_2,0,class
25538,id,34672,id_1,34673,id_2,Бывший ядерщик обвинен в США за попытку кражи данных о ядерном оружии,text_1,Бывший ядерщик обвинен в США за попытку кражи информации о ядерном оружии,text_2,0,class
25539,id,34673,id_1,34674,id_2,Бывший ядерщик обвинен в США за попытку кражи информации о ядерном оружии,text_1,Бывший американский чиновник обвинен в попытке кражи ядерных секретов,text_2,0,class
25540,id,34672,id_1,34674,id_2,Бывший ядерщик обвинен в США за попытку кражи данных о ядерном оружии,text_1,Бывший американский чиновник обвинен в попытке кражи ядерных секретов,text_2,0,class
