,value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
5,25431,id,34533,id_1,34534,id_2,Вертолет с 11 иностранцами на борту упал в Пакистане,text_1,В Пакистане упал вертолет с 11 иностранцами,text_2,1,class
6,25432,id,34535,id_1,34536,id_2,Самолет вернулся в аэропорт Новосибирска из-за стука в салоне,text_1,Самолет вернулся в новосибирский аэропорт из-за таинственного стука,text_2,1,class
9,25443,id,34556,id_1,34557,id_2,Суд оправдал Васильеву в хищении акций на два миллиарда рублей,text_1,Суд оправдал Васильеву в хищении акций на 2 млрд рублей,text_2,1,class
10,25447,id,34560,id_1,34561,id_2,Пушков: у Обамы не хватило духа лично поздравить наш народ с Победой,text_1,Пушков: Обама не нашел в себе духа лично поздравить россиян с Победой,text_2,1,class
11,25448,id,34562,id_1,34563,id_2,МЧС РФ: тела погибших российских дипломатов доставят из Непала 11 мая,text_1,Тела погибших в Непале российских дипломатов доставят на родину 11 мая,text_2,1,class
12,25451,id,34565,id_1,34566,id_2,Девять самолетов ВВС разгонят облака над Москвой в День Победы,text_1,Облака над Москвой в День Победы разгонят девять самолетов,text_2,1,class
14,25457,id,34549,id_1,34569,id_2,Следственный комитет сообщил о взломе своего сайта,text_1,В СКР сообщили о взломе хакерами сайта ведомства,text_2,1,class
16,25462,id,34574,id_1,34575,id_2,Консерваторы претендуют на большинство в парламенте Британии,text_1,Консерваторы получили большинство мест в британском парламенте,text_2,1,class
18,25469,id,34579,id_1,34580,id_2,Песков: Путин и Кастро не обсуждали вопрос о военных базах РФ на Кубе,text_1,Песков: Путин и Кастро не говорили о базах на Кубе,text_2,1,class
19,25471,id,34582,id_1,34583,id_2,Лавров выразил соболезнования в связи с гибелью дипломатов РФ в Непале,text_1,"Лавров выразил соболезнования родственникам дипломатов, погибших в Непале",text_2,1,class
23,25485,id,34600,id_1,34599,id_2,Евгения Васильева приговорена к пяти годам общего режима,text_1,Евгения Васильева приговорена к пяти годам колонии общего режима,text_2,1,class
28,25493,id,34608,id_1,34607,id_2,СМИ: Лавров и Керри могут встретиться в Сочи 12 мая,text_1,Лавров заявил о готовности встретиться с Керри в Сочи,text_2,1,class
29,25497,id,34584,id_1,34612,id_2,9 мая метрополитен Петербурга будет работать круглосуточно,text_1,Петербургское метро в ночь на 10 мая будет работать круглосуточно,text_2,1,class
35,25507,id,34626,id_1,34627,id_2,Главой ГУМЧС России по Москве назначен генерал-майор Денисов,text_1,Главой ГУМЧС по Москве назначен генерал-майор Илья Денисов,text_2,1,class
36,25508,id,34628,id_1,34629,id_2,СК: против принимавшего участие в убийствах в Хатыне возбуждено дело,text_1,СК России возбудил дело против убийцы жителей Хатыни Катрюка,text_2,1,class
42,25516,id,34638,id_1,34639,id_2,Apple получила патент на социальную сеть,text_1,Apple получила патент на собственную соцсеть,text_2,1,class
43,25518,id,34642,id_1,34643,id_2,"Подвесной потолок обрушился в аэропорту Стамбула, есть раненые",text_1,Четверо пострадали при обрушении подвесного потолка в аэропорту Стамбула,text_2,1,class
45,25520,id,34646,id_1,34647,id_2,Генсек ООН и премьер Украины обсудили минские договоренности,text_1,Генсек ООН и премьер-министр Украины обсудили минские договоренности,text_2,1,class
55,25531,id,34662,id_1,34663,id_2,Самолеты коалиции начали бомбардировку йеменской провинции Саада,text_1,Самолеты Арабской коалиции начали бомбить йеменскую провинцию Саада,text_2,1,class
65,25541,id,34675,id_1,34676,id_2,Четыре человека погибли при крушении легкомоторного самолета в США,text_1,В США 4 человека погибли при крушении легкомоторного самолета,text_2,1,class
67,25543,id,34678,id_1,34679,id_2,КНДР заявила о проведении подводного запуска баллистической ракеты,text_1,КНДР провела испытательный подводный пуск баллистической ракеты,text_2,1,class
69,25545,id,34678,id_1,34680,id_2,КНДР заявила о проведении подводного запуска баллистической ракеты,text_1,КНДР сообщила о пробном запуске баллистической ракеты с подлодки,text_2,1,class
73,25551,id,34683,id_1,34684,id_2,Около 40 китов погибли у берегов Чили,text_1,Около 40 китов выбросились на берег на юге Чили,text_2,1,class
76,25555,id,34691,id_1,34692,id_2,Пентагон: США считают вероятным приобретение Китаем у России Су-35,text_1,В Пентагоне сочли вероятным приобретение Китаем истребителей Су-35,text_2,1,class
78,25557,id,34695,id_1,34696,id_2,СМИ: скончался бас-гитарист группы ABBA,text_1,В Швеции скончался бас-гитарист группы ABBA,text_2,1,class
79,25558,id,34697,id_1,34696,id_2,СМИ: скончался бас-гитарист группы ABBA,text_1,В Швеции скончался бас-гитарист группы ABBA,text_2,1,class
80,25559,id,34698,id_1,34699,id_2,"""Врачи без границ"": Либерия стала страной, свободной от вируса Эбола",text_1,Либерия признана свободной от лихорадки Эбола территорией,text_2,1,class
82,25561,id,34686,id_1,34702,id_2,Принц Чарльз: Внучка будет заботиться обо мне,text_1,Принц Чарльз выразил надежду на заботу со стороны внучки в старости,text_2,1,class
83,25562,id,34685,id_1,34702,id_2,"Принц Чарльз надеется, что внучка будет заботиться о нем в старости",text_1,Принц Чарльз выразил надежду на заботу со стороны внучки в старости,text_2,1,class
